trade_id,strategy,underlying,entry_date,expiry_date,spot_entry,spot_settle,atm_strike,lot_size,margin_required,net_credit_pts,max_loss_pts,gross_pnl,brokerage,stt,exchange_charges,gst,sebi_stamp,slippage,total_costs,net_pnl,exit_reason,is_winner,contracts_json,year,year_month
OTM_STRANGLE_2026-01-28_2026-02-03,OTM_STRANGLE,NIFTY,2026-01-28,2026-02-03,25342.75,25727.55,25350.0,65,130000.0,381.7,954.25,6769.75,80.0,24.81,21.43,18.26,0.58,130.0,275.08,6494.67,EXPIRY,True,"['short_ce:25450.0CE@170.7->277.5499999999993', 'short_pe:25250.0PE@211.0->0.0']",2026,2026-01
OTM_STRANGLE_2026-02-04_2026-02-10,OTM_STRANGLE,NIFTY,2026-02-04,2026-02-10,25776.0,25935.15,25800.0,65,130000.0,287.65,719.12,16412.5,80.0,18.7,10.49,16.29,0.09,130.0,255.57,16156.93,EXPIRY,True,"['short_ce:25900.0CE@107.65->35.150000000001455', 'short_pe:25700.0PE@180.0->0.0']",2026,2026-02
OTM_STRANGLE_2026-02-11_2026-02-17,OTM_STRANGLE,NIFTY,2026-02-11,2026-02-17,25953.85,25725.4,25950.0,65,130000.0,182.55,456.38,3766.75,80.0,11.87,9.98,16.2,0.26,130.0,248.31,3518.44,EXPIRY,True,"['short_ce:26050.0CE@102.55->0.0', 'short_pe:25850.0PE@80.0->124.59999999999854']",2026,2026-02
OTM_STRANGLE_2026-02-18_2026-02-24,OTM_STRANGLE,NIFTY,2026-02-18,2026-02-24,25819.35,25424.65,25800.0,65,130000.0,225.25,563.12,-3256.5,80.0,14.64,16.27,17.33,0.57,130.0,258.81,-3515.31,EXPIRY,False,"['short_ce:25900.0CE@91.25->0.0', 'short_pe:25700.0PE@134.0->275.34999999999854']",2026,2026-02
OTM_STRANGLE_2026-02-25_2026-03-02,OTM_STRANGLE,NIFTY,2026-02-25,2026-03-02,25482.5,24865.7,25500.0,65,130000.0,258.0,645.0,-17959.5,80.0,16.77,25.75,19.04,1.09,130.0,272.66,-18232.16,EXPIRY,False,"['short_ce:25600.0CE@140.0->0.0', 'short_pe:25400.0PE@118.0->534.2999999999993']",2026,2026-02
OTM_STRANGLE_2026-03-04_2026-03-10,OTM_STRANGLE,NIFTY,2026-03-04,2026-03-10,24480.5,24261.6,24500.0,65,130000.0,453.9,1134.75,20507.5,80.0,29.5,19.25,17.87,0.31,130.0,276.93,20230.57,EXPIRY,True,"['short_ce:24600.0CE@253.9->0.0', 'short_pe:24400.0PE@200.0->138.40000000000146']",2026,2026-03
OTM_STRANGLE_2026-03-11_2026-03-17,OTM_STRANGLE,NIFTY,2026-03-11,2026-03-17,23866.85,23581.15,23850.0,65,130000.0,566.8,1417.0,25866.75,80.0,36.84,23.91,18.71,0.38,130.0,289.84,25576.91,EXPIRY,True,"['short_ce:23950.0CE@468.5->0.0', 'short_pe:23750.0PE@98.3->168.84999999999854']",2026,2026-03
OTM_STRANGLE_2026-03-18_2026-03-24,OTM_STRANGLE,NIFTY,2026-03-18,2026-03-24,23777.8,22912.4,23800.0,65,130000.0,382.35,955.88,-26341.25,80.0,24.85,38.02,21.26,1.61,130.0,295.75,-26637.0,EXPIRY,False,"['short_ce:23900.0CE@122.4->0.0', 'short_pe:23700.0PE@259.95->787.5999999999985']",2026,2026-03
OTM_STRANGLE_2026-03-27_2026-03-30,OTM_STRANGLE,NIFTY,2026-03-27,2026-03-30,22819.6,22331.4,22800.0,65,130000.0,527.6,1319.0,10335.0,80.0,34.29,29.13,19.65,0.78,130.0,293.85,10041.15,EXPIRY,True,"['short_ce:22900.0CE@425.0->0.0', 'short_pe:22700.0PE@102.6->368.59999999999854']",2026,2026-03
OTM_STRANGLE_2026-04-01_2026-04-07,OTM_STRANGLE,NIFTY,2026-04-01,2026-04-07,22679.4,23123.65,22700.0,65,130000.0,597.25,1493.12,17784.0,80.0,38.82,29.93,19.8,0.69,130.0,299.24,17484.76,EXPIRY,True,"['short_ce:22800.0CE@349.45->323.65000000000146', 'short_pe:22600.0PE@247.8->0.0']",2026,2026-04
